Feat ID,RT,DT,CCS,Gas,mz,Abundance,Charge,Polarity,Lipid Class,Compound Name,CAS ID,Formula,Mass,Ion Species,Theo mz,ppm Error,Abs ppm Error,Score,Sum Comp,Num Constit,Constit,Constit Abund
1,2.613,,,,485.2822,5641807,-1,Negative,,,,,486.2895,(M-H)-,,,,,,
2,5.088,,,,423.3266,4824777,-1,Negative,,,,,424.3339,(M-H)-,,,,,,
3,7.147,,,,887.5651,2967559,-1,Negative,Phosphatidylinositol,PI 18:0_20:3,,C47H85O13P,888.5728,(M-H)-,887.5655,-0.5,0.5,96.45,PI 38:3,2,PI 18:0/20:3,59.5
4,4.160,,,,255.2328,2907889,-1,Negative,Free fatty acid,FA 16:0,,C16H32O2,256.2402,(M-H)-,255.2330,-0.4,0.4,99.43,FA 16:0,1,FA 16:0,100.0
5,10.189,,,,609.5572,2813028,-1,Negative,,,,,610.5645,(M-H)-,,,,,,
6,4.921,,,,283.2642,2613557,-1,Negative,Free fatty acid,FA 18:0,,C18H36O2,284.2715,(M-H)-,283.2643,-0.1,0.1,97.86,FA 18:0,1,FA 18:0,100.0
7,10.660,,,,694.6351,2160117,-1,Negative,Ceramide non-hydroxyfatty acid-sphingosine,Cer_NS d18:1_24:0,,C42H83NO3,649.6373,(M+CHO2)-,694.6355,-0.6,0.6,95.07,Cer_NS d42:1,5,Cer_NS d18:1/24:0,35.8
8,1.995,,,,311.1686,2071904,-1,Negative,,,,,312.1758,(M-H)-,,,,,,
9,6.753,,,,885.5495,1794843,-1,Negative,Phosphatidylinositol,PI 18:0_20:4,,C47H83O13P,886.5571,(M-H)-,885.5499,-0.4,0.4,96.04,PI 38:4,1,PI 18:0/20:4,100.0
10,3.457,,,,227.2015,1724170,-1,Negative,,,,,228.2088,(M-H)-,,,,,,
11,3.814,,,,681.2960,1400845,-1,Negative,,,,,682.3033,(M-H)-,,,,,,
12,10.488,,,,692.6195,1229265,-1,Negative,Ceramide non-hydroxyfatty acid-sphingosine,Cer_NS d42:2,,C42H81NO3,647.6216,(M+CHO2)-,692.6198,-0.6,0.6,94.37,Cer_NS d42:2,6,,
13,7.704,,,,788.5443,1135087,-1,Negative,Phosphatidylserine,PS 18:0_18:1,,C42H80NO10P,789.5520,(M-H)-,788.5447,-0.5,0.5,78.39,PS 36:1,1,PS 18:0/18:1,100.0
14,5.982,,,,883.5337,1084563,-1,Negative,Phosphatidylinositol,PI 18:1_20:4,,C47H81O13P,884.5415,(M-H)-,883.5342,-0.5,0.5,97.45,PI 38:5,3,PI 18:1/20:4,50.7
15,10.476,,,,666.6038,1073479,-1,Negative,Ceramide non-hydroxyfatty acid-sphingosine,Cer_NS d18:1_22:0,,C40H79NO3,621.6060,(M+CHO2)-,666.6042,-0.6,0.6,94.16,Cer_NS d40:1,5,Cer_NS d18:1/22:0,39.7
16,2.613,,,,971.5720,1030330,-1,Negative,,,,,972.5793,(M-H)-,,,,,,
17,9.906,,,,744.5543,1026133,-1,Negative,Phosphatidylethanolamine,PE 18:0_18:1,,C41H80NO8P,745.5622,(M-H)-,744.5549,-0.7,0.7,93.59,PE 36:1,1,PE 18:0/18:1,100.0
18,10.398,,,,637.5885,1003351,-1,Negative,,,,,638.5958,(M-H)-,,,,,,
19,6.136,,,,564.3440,986050,-1,Negative,,,,,565.3512,(M-H)-,,,,,,
20,8.892,,,,766.5389,887321,-1,Negative,Phosphatidylethanolamine,PE 18:0_20:4,,C43H78NO8P,767.5465,(M-H)-,766.5392,-0.5,0.5,93.44,PE 38:4,1,PE 18:0/20:4,100.0
21,7.157,,,,776.5447,867120,-1,Negative,Phosphatidylcholine,PC 16:0_16:1,,C40H78NO8P,731.5465,(M+CHO2)-,776.5447,-0.1,0.1,98.11,PC 32:1,5,PC 16:0/16:1,67.9
22,10.376,,,,859.6906,812354,-1,Negative,Sphingomyelin,SM d42:1,,C47H95N2O6P,814.6928,(M+CHO2)-,859.6910,-0.4,0.4,97.72,SM d42:1,33,,
23,7.030,,,,776.5444,771231,-1,Negative,Phosphatidylcholine,PC 16:0_16:1,,C40H78NO8P,731.5465,(M+CHO2)-,776.5447,-0.4,0.4,97.00,PC 32:1,2,PC 16:0/16:1,57.3
24,8.187,,,,804.5755,760396,-1,Negative,Phosphatidylcholine,PC 16:0_18:1,,C42H82NO8P,759.5778,(M+CHO2)-,804.5760,-0.6,0.6,96.08,PC 34:1,2,PC 16:0/18:1,75.2
25,6.692,,,,747.5653,749714,-1,Negative,Sphingomyelin,SM d34:1,,C39H79N2O6P,702.5676,(M+CHO2)-,747.5658,-0.6,0.6,98.37,SM d34:1,17,,
26,9.488,,,,581.5259,726259,-1,Negative,,,,,582.5331,(M-H)-,,,,,,
27,4.076,,,,465.3041,719221,-1,Negative,,,,,466.3114,(M-H)-,,,,,,
28,8.774,,,,582.5099,678396,-1,Negative,Ceramide non-hydroxyfatty acid-sphingosine,Cer_NS d18:1_16:0,,C34H67NO3,537.5121,(M+CHO2)-,582.5103,-0.8,0.8,95.08,Cer_NS d34:1,3,Cer_NS d18:1/16:0,58.0
29,6.847,,,,750.5285,661019,-1,Negative,Phosphatidylcholine,PC 14:0_16:0,,C38H76NO8P,705.5309,(M+CHO2)-,750.5291,-0.7,0.7,97.18,PC 30:0,1,PC 14:0/16:0,100.0
30,7.966,,,,778.5598,649907,-1,Negative,Phosphatidylcholine,PC 16:0_16:0,,C40H80NO8P,733.5622,(M+CHO2)-,778.5604,-0.7,0.7,97.41,PC 32:0,2,PC 16:0/16:0,73.4
31,5.846,,,,857.5180,633535,-1,Negative,Phosphatidylinositol,PI 16:0_20:4,,C45H79O13P,858.5258,(M-H)-,857.5186,-0.7,0.7,97.57,PI 36:4,2,PI 16:0/20:4,62.1
32,2.338,,,,325.1841,616942,-1,Negative,,,,,326.1913,(M-H)-,,,,,,
33,8.024,,,,746.5126,595454,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 16:1e_22:6,,C43H74NO7P,747.5203,(M-H)-,746.5130,-0.6,0.6,95.18,EtherPE 38:7e,1,EtherPE 16:1e/22:6,100.0
34,8.422,,,,830.5911,565196,-1,Negative,Phosphatidylcholine,PC 18:1_18:1,,C44H84NO8P,785.5935,(M+CHO2)-,830.5917,-0.6,0.6,96.59,PC 36:2,3,PC 18:1/18:1,54.5
35,9.523,,,,832.6068,524940,-1,Negative,Phosphatidylcholine,PC 18:0_18:1,,C44H86NO8P,787.6091,(M+CHO2)-,832.6073,-0.6,0.6,94.78,PC 36:1,2,PC 18:0/18:1,75.1
36,9.325,,,,774.5438,489642,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 18:1e_22:6,,C45H78NO7P,775.5516,(M-H)-,774.5443,-0.7,0.7,87.15,EtherPE 40:7e,1,EtherPE 18:1e/22:6,100.0
37,7.463,,,,887.5651,481257,-1,Negative,Phosphatidylinositol,PI 18:0_20:3,,C47H85O13P,888.5728,(M-H)-,887.5655,-0.5,0.5,97.48,PI 38:3,2,PI 18:0/20:3,63.2
38,10.400,,,,856.6877,469160,-1,Negative,Hexosylceramide non-hydroxyfatty acid-sphingosine,HexCer_NS d42:1,,C48H93NO8,811.6901,(M+CHO2)-,856.6883,-0.7,0.7,91.77,HexCer_NS d42:1,2,,
39,10.122,,,,831.6592,465103,-1,Negative,Sphingomyelin,SM d40:1,,C45H91N2O6P,786.6615,(M+CHO2)-,831.6597,-0.6,0.6,97.69,SM d40:1,29,,
40,9.724,,,,776.5594,461584,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 18:1e_22:5,,C45H80NO7P,777.5672,(M-H)-,776.5600,-0.7,0.7,94.67,EtherPE 40:6e,1,EtherPE 18:1e/22:5,100.0
41,10.146,,,,857.6748,460138,-1,Negative,Sphingomyelin,SM d42:2,,C47H93N2O6P,812.6771,(M+CHO2)-,857.6753,-0.6,0.6,97.31,SM d42:2,40,,
42,6.651,,,,861.5493,457112,-1,Negative,Phosphatidylinositol,PI 18:1_18:1,,C45H83O13P,862.5571,(M-H)-,861.5499,-0.7,0.7,94.98,PI 36:2,1,PI 18:1/18:1,100.0
43,7.873,,,,775.5490,444314,-1,Negative,Phosphatidylglycerol,PG 18:0_18:1,,C42H81O10P,776.5567,(M-H)-,775.5495,-0.6,0.6,75.75,PG 36:1,2,PG 18:0/18:1,70.4
44,10.663,,,,711.6250,440519,-1,Negative,,,,,712.6323,(M-H)-,,,,,,
45,9.038,,,,790.5962,425208,-1,Negative,Ether-linked phosphatidylcholine,EtherPC 34:1e,,C42H84NO7P,745.5985,(M+CHO2)-,790.5967,-0.7,0.7,93.91,EtherPC 34:1e,5,,
46,8.654,,,,790.5387,419896,-1,Negative,Phosphatidylethanolamine,PE 18:0_22:6,,C45H78NO8P,791.5465,(M-H)-,790.5392,-0.7,0.7,92.00,PE 40:6,1,PE 18:0/22:6,100.0
47,10.228,,,,828.6563,419711,-1,Negative,Hexosylceramide non-hydroxyfatty acid-sphingosine,HexCer_NS d18:1_22:0,,C46H89NO8,783.6588,(M+CHO2)-,828.6570,-0.9,0.9,94.26,HexCer_NS d40:1,2,HexCer_NS d18:1/22:0,57.6
48,7.364,,,,802.5600,390976,-1,Negative,Phosphatidylcholine,PC 16:1_18:1,,C42H80NO8P,757.5622,(M+CHO2)-,802.5604,-0.5,0.5,97.50,PC 34:2,5,PC 16:1/18:1,44.4
49,8.404,,,,748.5280,375136,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 16:1e_22:5,,C43H76NO7P,749.5359,(M-H)-,748.5287,-0.8,0.8,98.89,EtherPE 38:6e,2,EtherPE 16:1e/22:5,61.1
50,10.193,,,,626.5471,374666,-1,Negative,,,,,627.5544,(M-H)-,,,,,,
51,2.694,,,,339.1997,369700,-1,Negative,,,,,340.2069,(M-H)-,,,,,,
52,7.222,,,,802.5598,365177,-1,Negative,Phosphatidylcholine,PC 16:1_18:1,,C42H80NO8P,757.5622,(M+CHO2)-,802.5604,-0.7,0.7,96.90,PC 34:2,4,PC 16:1/18:1,63.4
53,8.574,,,,716.5230,364970,-1,Negative,Phosphatidylethanolamine,PE 16:0_18:1,,C39H76NO8P,717.5309,(M-H)-,716.5236,-0.9,0.9,87.31,PE 34:1,1,PE 16:0/18:1,100.0
54,5.294,,,,580.3387,345550,-1,Negative,,,,,581.3460,(M-H)-,,,,,,
55,4.171,,,,473.3057,342440,-1,Negative,,,,,474.3129,(M-H)-,,,,,,
56,6.054,,,,748.5129,331344,-1,Negative,Phosphatidylcholine,PC 14:0_16:1,,C38H74NO8P,703.5152,(M+CHO2)-,748.5134,-0.7,0.7,97.65,PC 30:1,3,PC 14:0/16:1,83.4
57,9.210,,,,750.5437,327062,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 16:1e_22:4,,C43H78NO7P,751.5516,(M-H)-,750.5443,-0.8,0.8,97.30,EtherPE 38:5e,1,EtherPE 16:1e/22:4,100.0
58,3.830,,,,698.2862,325846,-1,Negative,,,,,699.2935,(M-H)-,,,,,,
59,10.341,,,,690.6036,318520,-1,Negative,Ceramide non-hydroxyfatty acid-sphingosine,Cer_NS d42:3,,C42H79NO3,645.6060,(M+CHO2)-,690.6042,-0.9,0.9,95.56,Cer_NS d42:3,8,,
60,8.777,,,,742.5387,318466,-1,Negative,Phosphatidylethanolamine,PE 18:1_18:1,,C41H78NO8P,743.5465,(M-H)-,742.5392,-0.7,0.7,96.02,PE 36:2,1,PE 18:1/18:1,100.0
61,10.666,,,,684.6061,317286,-1,Negative,,,,,685.6134,(M-H)-,,,,,,
62,9.618,,,,750.5438,304524,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 18:1e_20:4,,C43H78NO7P,751.5516,(M-H)-,750.5443,-0.7,0.7,96.80,EtherPE 38:5e,1,EtherPE 18:1e/20:4,100.0
63,4.311,,,,281.2484,292378,-1,Negative,Free fatty acid,FA 18:1,,C18H34O2,282.2559,(M-H)-,281.2486,-0.7,0.7,99.32,FA 18:1,1,FA 18:1,100.0
64,9.307,,,,700.5282,284793,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 16:1e_18:1,,C39H76NO7P,701.5359,(M-H)-,700.5287,-0.7,0.7,98.16,EtherPE 34:2e,1,EtherPE 16:1e/18:1,100.0
65,6.516,,,,835.5337,282404,-1,Negative,Phosphatidylinositol,PI 34:1,,C43H81O13P,836.5415,(M-H)-,835.5342,-0.5,0.5,96.88,PI 34:1,2,,
66,5.853,,,,722.4971,279748,-1,Negative,Phosphatidylcholine,PC 14:0_14:0,,C36H72NO8P,677.4996,(M+CHO2)-,722.4978,-0.9,0.9,98.68,PC 28:0,1,PC 14:0/14:0,100.0
67,2.263,,,,293.1790,273963,-1,Negative,,,,,294.1862,(M-H)-,,,,,,
68,10.054,,,,792.6119,273627,-1,Negative,Ether-linked phosphatidylcholine,EtherPC 18:0e_16:0,,C42H86NO7P,747.6142,(M+CHO2)-,792.6124,-0.7,0.7,94.59,EtherPC 34:0e,3,EtherPC 18:0e/16:0,59.8
69,7.532,,,,863.5650,272030,-1,Negative,Phosphatidylinositol,PI 18:0_18:1,,C45H85O13P,864.5728,(M-H)-,863.5655,-0.6,0.6,97.11,PI 36:1,2,PI 18:0/18:1,63.1
70,1.559,,,,265.1477,269491,-1,Negative,,,,,266.1550,(M-H)-,,,,,,
71,8.277,,,,722.5125,264129,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 16:1e_20:4,,C41H74NO7P,723.5203,(M-H)-,722.5130,-0.8,0.8,99.13,EtherPE 36:5e,1,EtherPE 16:1e/20:4,100.0
72,0.549,,,,146.9659,256571,-1,Negative,,,,,147.9732,(M-H)-,,,,,,
73,8.767,,,,599.4999,252780,-1,Negative,,,,,600.5072,(M-H)-,,,,,,
74,6.423,,,,773.5331,252622,-1,Negative,,,,,774.5403,(M-H)-,,,,,,
75,8.516,,,,854.5908,248901,-1,Negative,Phosphatidylcholine,PC 18:0_20:4,,C46H84NO8P,809.5935,(M+CHO2)-,854.5917,-1.0,1.0,93.50,PC 38:4,1,PC 18:0/20:4,100.0
76,4.141,,,,360.1926,247453,-1,Negative,,,,,361.1999,(M-H)-,,,,,,
77,1.579,,,,431.1837,241509,-1,Negative,,,,,432.1910,(M-H)-,,,,,,
78,4.724,,,,369.3006,240841,-1,Negative,,,,,370.3079,(M-H)-,,,,,,
79,10.327,,,,664.5879,239437,-1,Negative,Ceramide non-hydroxyfatty acid-sphingosine,Cer_NS d40:2,,C40H77NO3,619.5903,(M+CHO2)-,664.5885,-1.0,1.0,96.49,Cer_NS d40:2,9,,
80,6.592,,,,885.5493,236507,-1,Negative,Phosphatidylinositol,PI 18:1_20:3,,C47H83O13P,886.5571,(M-H)-,885.5499,-0.6,0.6,97.35,PI 38:4,2,PI 18:1/20:3,59.2
81,3.684,,,,568.3616,233376,-1,Negative,Lysophophatidylcholine,LPC 18:0/0:0,,C26H54NO7P,523.3638,(M+CHO2)-,568.3620,-0.7,0.7,96.17,LPC 18:0,1,LPC 18:0,100.0
82,7.136,,,,836.5442,231149,-1,Negative,Phosphatidylserine,PS 18:0_22:5,,C46H80NO10P,837.5520,(M-H)-,836.5447,-0.6,0.6,82.77,PS 40:5,2,PS 18:0/22:5,65.5
83,9.836,,,,794.5699,229316,-1,Negative,Phosphatidylethanolamine,PE 18:0_22:4,,C45H82NO8P,795.5778,(M-H)-,794.5705,-0.8,0.8,93.40,PE 40:4,2,PE 18:0/22:4,85.5
84,0.586,,,,137.0357,227399,-1,Negative,,,,,138.0430,(M-H)-,,,,,,
85,6.310,,,,774.5294,227158,-1,Negative,Phosphatidylcholine,PC 16:1_16:1,,C40H76NO8P,729.5309,(M+CHO2)-,774.5291,0.5,0.5,96.38,PC 32:2,7,PC 16:1/16:1,56.4
86,0.585,,,,93.0459,225265,-1,Negative,,,,,94.0531,(M-H)-,,,,,,
87,8.580,,,,750.5436,223389,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 16:0e_22:5,,C43H78NO7P,751.5516,(M-H)-,750.5443,-1.0,1.0,97.73,EtherPE 38:5e,5,EtherPE 16:0e/22:5,51.2
88,9.277,,,,806.5911,220146,-1,Negative,Phosphatidylcholine,PC 16:0_18:0,,C42H84NO8P,761.5935,(M+CHO2)-,806.5917,-0.7,0.7,95.69,PC 34:0,2,PC 16:0/18:0,78.1
89,4.921,,,,567.5352,220105,-1,Negative,,,,,568.5425,(M-H)-,,,,,,
90,1.326,,,,207.1390,219850,-1,Negative,,,,,208.1462,(M-H)-,,,,,,
91,10.498,,,,709.6095,219433,-1,Negative,,,,,710.6168,(M-H)-,,,,,,
92,7.509,,,,913.5807,219408,-1,Negative,Phosphatidylinositol,PI 18:0_22:4,,C49H87O13P,914.5884,(M-H)-,913.5812,-0.5,0.5,96.88,PI 40:4,2,PI 18:0/22:4,61.0
93,6.191,,,,883.5337,216919,-1,Negative,Phosphatidylinositol,PI 18:0_20:5,,C47H81O13P,884.5415,(M-H)-,883.5342,-0.6,0.6,96.41,PI 38:5,3,PI 18:0/20:5,47.4
94,8.831,,,,764.5805,215628,-1,Negative,Ether-linked phosphatidylcholine,EtherPC 16:0e_16:0,,C40H82NO7P,719.5829,(M+CHO2)-,764.5811,-0.8,0.8,84.86,EtherPC 32:0e,3,EtherPC 16:0e/16:0,61.6
95,1.653,,,,297.1528,214768,-1,Negative,,,,,298.1601,(M-H)-,,,,,,
96,4.160,,,,451.2913,214636,-1,Negative,,,,,452.2986,(M-H)-,,,,,,
