Feat ID,RT,DT,CCS,Gas,mz,Abundance,Charge,Polarity,Lipid Class,Compound Name,CAS ID,Formula,Mass,Ion Species,Theo mz,ppm Error,Abs ppm Error,Score,Sum Comp,Num Constit,Constit,Constit Abund
1,2.618,,,,485.2824,5636511,-1,Negative,,,,,486.2897,(M-H)-,,,,,,
2,5.093,,,,423.3265,4520546,-1,Negative,,,,,424.3338,(M-H)-,,,,,,
3,7.164,,,,887.5651,3705826,-1,Negative,Phosphatidylinositol,PI 18:0_20:3,,C47H85O13P,888.5728,(M-H)-,887.5655,-0.4,0.4,96.25,PI 38:3,2,PI 18:0/20:3,59.2
4,4.165,,,,255.2328,2654597,-1,Negative,Free fatty acid,FA 16:0,,C16H32O2,256.2402,(M-H)-,255.2330,-0.6,0.6,99.14,FA 16:0,1,FA 16:0,100.0
5,10.192,,,,609.5571,2610198,-1,Negative,,,,,610.5643,(M-H)-,,,,,,
6,4.930,,,,283.2641,2111221,-1,Negative,Free fatty acid,FA 18:0,,C18H36O2,284.2715,(M-H)-,283.2643,-0.5,0.5,99.25,FA 18:0,1,FA 18:0,100.0
7,6.763,,,,885.5496,1811509,-1,Negative,Phosphatidylinositol,PI 18:0_20:4,,C47H83O13P,886.5571,(M-H)-,885.5499,-0.3,0.3,97.08,PI 38:4,2,PI 18:0/20:4,62.5
8,3.462,,,,227.2016,1687078,-1,Negative,,,,,228.2088,(M-H)-,,,,,,
9,3.817,,,,681.2958,1305100,-1,Negative,,,,,682.3031,(M-H)-,,,,,,
10,8.920,,,,766.5388,1257154,-1,Negative,Phosphatidylethanolamine,PE 18:0_20:4,,C43H78NO8P,767.5465,(M-H)-,766.5392,-0.5,0.5,94.36,PE 38:4,1,PE 18:0/20:4,100.0
11,7.727,,,,788.5442,1248090,-1,Negative,Phosphatidylserine,PS 18:0_18:1,,C42H80NO10P,789.5520,(M-H)-,788.5447,-0.6,0.6,78.01,PS 36:1,1,PS 18:0/18:1,100.0
12,10.665,,,,694.6351,1224407,-1,Negative,Ceramide non-hydroxyfatty acid-sphingosine,Cer_NS d18:1_24:0,,C42H83NO3,649.6373,(M+CHO2)-,694.6355,-0.5,0.5,90.53,Cer_NS d42:1,2,Cer_NS d18:1/24:0,62.9
13,9.924,,,,744.5545,1223273,-1,Negative,Phosphatidylethanolamine,PE 18:0_18:1,,C41H80NO8P,745.5622,(M-H)-,744.5549,-0.6,0.6,93.32,PE 36:1,1,PE 18:0/18:1,100.0
14,6.520,,,,835.5337,1167409,-1,Negative,Phosphatidylinositol,PI 34:1,,C43H81O13P,836.5415,(M-H)-,835.5342,-0.6,0.6,97.15,PI 34:1,2,,
15,2.028,,,,311.1685,1135145,-1,Negative,,,,,312.1758,(M-H)-,,,,,,
16,7.169,,,,776.5446,1093010,-1,Negative,Phosphatidylcholine,PC 16:0_16:1,,C40H78NO8P,731.5465,(M+CHO2)-,776.5447,-0.1,0.1,97.84,PC 32:1,5,PC 16:0/16:1,75.8
17,5.986,,,,883.5337,1044252,-1,Negative,Phosphatidylinositol,PI 18:1_20:4,,C47H81O13P,884.5415,(M-H)-,883.5342,-0.6,0.6,97.09,PI 38:5,2,PI 18:1/20:4,61.8
18,10.494,,,,692.6194,1025928,-1,Negative,Ceramide non-hydroxyfatty acid-sphingosine,Cer_NS d42:2,,C42H81NO3,647.6216,(M+CHO2)-,692.6198,-0.6,0.6,94.80,Cer_NS d42:2,7,,
19,2.618,,,,971.5722,945904,-1,Negative,,,,,972.5794,(M-H)-,,,,,,
20,4.080,,,,465.3042,936161,-1,Negative,,,,,466.3114,(M-H)-,,,,,,
21,5.854,,,,857.5182,926413,-1,Negative,Phosphatidylinositol,PI 16:0_20:4,,C45H79O13P,858.5258,(M-H)-,857.5186,-0.4,0.4,97.27,PI 36:4,2,PI 16:0/20:4,60.8
22,10.402,,,,637.5886,901325,-1,Negative,,,,,638.5959,(M-H)-,,,,,,
23,8.209,,,,804.5756,900114,-1,Negative,Phosphatidylcholine,PC 16:0_18:1,,C42H82NO8P,759.5778,(M+CHO2)-,804.5760,-0.6,0.6,96.36,PC 34:1,3,PC 16:0/18:1,73.6
24,8.795,,,,582.5099,881307,-1,Negative,Ceramide non-hydroxyfatty acid-sphingosine,Cer_NS d18:1_16:0,,C34H67NO3,537.5121,(M+CHO2)-,582.5103,-0.7,0.7,90.73,Cer_NS d34:1,1,Cer_NS d18:1/16:0,100.0
25,7.048,,,,776.5443,879845,-1,Negative,Phosphatidylcholine,PC 16:0_16:1,,C40H78NO8P,731.5465,(M+CHO2)-,776.5447,-0.6,0.6,97.18,PC 32:1,2,PC 16:0/16:1,73.0
26,7.543,,,,863.5649,876507,-1,Negative,Phosphatidylinositol,PI 18:0_18:1,,C45H85O13P,864.5728,(M-H)-,863.5655,-0.6,0.6,96.15,PI 36:1,1,PI 18:0/18:1,100.0
27,1.959,,,,309.1739,853867,-1,Negative,,,,,310.1811,(M-H)-,,,,,,
28,6.141,,,,564.3439,852298,-1,Negative,,,,,565.3511,(M-H)-,,,,,,
29,8.301,,,,722.5125,761229,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 16:1e_20:4,,C41H74NO7P,723.5203,(M-H)-,722.5130,-0.7,0.7,99.36,EtherPE 36:5e,1,EtherPE 16:1e/20:4,100.0
30,6.706,,,,747.5653,734256,-1,Negative,Sphingomyelin,SM d18:1_16:0,,C39H79N2O6P,702.5676,(M+CHO2)-,747.5658,-0.6,0.6,97.67,SM d34:1,1,SM d18:1/16:0,100.0
31,9.508,,,,581.5258,726043,-1,Negative,,,,,582.5331,(M-H)-,,,,,,
32,8.801,,,,742.5386,701852,-1,Negative,Phosphatidylethanolamine,PE 18:1_18:1,,C41H78NO8P,743.5465,(M-H)-,742.5392,-0.8,0.8,98.86,PE 36:2,1,PE 18:1/18:1,100.0
33,6.864,,,,750.5286,690172,-1,Negative,Phosphatidylcholine,PC 14:0_16:0,,C38H76NO8P,705.5309,(M+CHO2)-,750.5291,-0.6,0.6,97.91,PC 30:0,2,PC 14:0/16:0,86.3
34,7.992,,,,778.5598,677520,-1,Negative,Phosphatidylcholine,PC 16:0_16:0,,C40H80NO8P,733.5622,(M+CHO2)-,778.5604,-0.7,0.7,97.10,PC 32:0,2,PC 16:0/16:0,75.8
35,8.045,,,,746.5124,622421,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 16:1e_22:6,,C43H74NO7P,747.5203,(M-H)-,746.5130,-0.8,0.8,95.02,EtherPE 38:7e,1,EtherPE 16:1e/22:6,100.0
36,9.638,,,,750.5438,620957,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 18:1e_20:4,,C43H78NO7P,751.5516,(M-H)-,750.5443,-0.7,0.7,98.70,EtherPE 38:5e,1,EtherPE 18:1e/20:4,100.0
37,10.481,,,,666.6038,597720,-1,Negative,Ceramide non-hydroxyfatty acid-sphingosine,Cer_NS d18:1_22:0,,C40H79NO3,621.6060,(M+CHO2)-,666.6042,-0.7,0.7,95.17,Cer_NS d40:1,4,Cer_NS d18:1/22:0,39.6
38,9.550,,,,832.6068,596801,-1,Negative,Phosphatidylcholine,PC 18:0_18:1,,C44H86NO8P,787.6091,(M+CHO2)-,832.6073,-0.7,0.7,95.27,PC 36:1,3,PC 18:0/18:1,61.8
39,8.442,,,,830.5911,584147,-1,Negative,Phosphatidylcholine,PC 18:1_18:1,,C44H84NO8P,785.5935,(M+CHO2)-,830.5917,-0.6,0.6,97.25,PC 36:2,3,PC 18:1/18:1,62.6
40,6.655,,,,861.5493,584085,-1,Negative,Phosphatidylinositol,PI 36:2,,C45H83O13P,862.5571,(M-H)-,861.5499,-0.7,0.7,97.61,PI 36:2,4,,
41,2.341,,,,325.1841,577677,-1,Negative,,,,,326.1913,(M-H)-,,,,,,
42,8.439,,,,748.5282,572755,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 16:1e_22:5,,C43H76NO7P,749.5359,(M-H)-,748.5287,-0.6,0.6,98.50,EtherPE 38:6e,2,EtherPE 16:1e/22:5,55.4
43,8.602,,,,716.5230,556103,-1,Negative,Phosphatidylethanolamine,PE 16:0_18:1,,C39H76NO8P,717.5309,(M-H)-,716.5236,-0.8,0.8,90.12,PE 34:1,1,PE 16:0/18:1,100.0
