Feat ID,RT,DT,CCS,Gas,mz,Abundance,Charge,Polarity,Lipid Class,Compound Name,CAS ID,Formula,Mass,Ion Species,Theo mz,ppm Error,Abs ppm Error,Score,Sum Comp,Num Constit,Constit,Constit Abund
1,2.614,,,,485.2824,5030956,-1,Negative,,,,,486.2896,(M-H)-,,,,,,
2,7.157,,,,887.5652,4612963,-1,Negative,Phosphatidylinositol,PI 18:0_20:3,,C47H85O13P,888.5728,(M-H)-,887.5655,-0.3,0.3,96.69,PI 38:3,4,PI 18:0/20:3,38.6
3,5.089,,,,423.3265,3777298,-1,Negative,,,,,424.3338,(M-H)-,,,,,,
4,10.192,,,,609.5571,2902938,-1,Negative,,,,,610.5644,(M-H)-,,,,,,
5,6.755,,,,885.5494,1691980,-1,Negative,Phosphatidylinositol,PI 18:0_20:4,,C47H83O13P,886.5571,(M-H)-,885.5499,-0.5,0.5,95.70,PI 38:4,1,PI 18:0/20:4,100.0
6,4.162,,,,255.2329,1684759,-1,Negative,Free fatty acid,FA 16:0,,C16H32O2,256.2402,(M-H)-,255.2330,-0.2,0.2,99.10,FA 16:0,1,FA 16:0,100.0
7,6.507,,,,835.5336,1618292,-1,Negative,Phosphatidylinositol,PI 34:1,,C43H81O13P,836.5415,(M-H)-,835.5342,-0.7,0.7,96.75,PI 34:1,2,,
8,3.457,,,,227.2016,1443042,-1,Negative,,,,,228.2089,(M-H)-,,,,,,
9,9.915,,,,744.5543,1336293,-1,Negative,Phosphatidylethanolamine,PE 18:0_18:1,,C41H80NO8P,745.5622,(M-H)-,744.5549,-0.8,0.8,94.10,PE 36:1,1,PE 18:0/18:1,100.0
10,4.926,,,,283.2640,1321462,-1,Negative,Free fatty acid,FA 18:0,,C18H36O2,284.2715,(M-H)-,283.2643,-0.7,0.7,99.69,FA 18:0,1,FA 18:0,100.0
11,8.916,,,,766.5390,1256836,-1,Negative,Phosphatidylethanolamine,PE 18:0_20:4,,C43H78NO8P,767.5465,(M-H)-,766.5392,-0.3,0.3,93.21,PE 38:4,1,PE 18:0/20:4,100.0
12,7.713,,,,788.5441,1246278,-1,Negative,Phosphatidylserine,PS 18:0_18:1,,C42H80NO10P,789.5520,(M-H)-,788.5447,-0.7,0.7,83.38,PS 36:1,3,PS 18:0/18:1,52.2
13,5.978,,,,883.5339,1205879,-1,Negative,Phosphatidylinositol,PI 18:1_20:4,,C47H81O13P,884.5415,(M-H)-,883.5342,-0.4,0.4,97.12,PI 38:5,2,PI 18:1/20:4,55.6
14,1.988,,,,311.1684,1171013,-1,Negative,,,,,312.1757,(M-H)-,,,,,,
15,10.664,,,,694.6352,1165718,-1,Negative,Ceramide non-hydroxyfatty acid-sphingosine,Cer_NS d42:1,,C42H83NO3,649.6373,(M+CHO2)-,694.6355,-0.5,0.5,93.40,Cer_NS d42:1,3,,
16,8.788,,,,582.5100,1151614,-1,Negative,Ceramide non-hydroxyfatty acid-sphingosine,Cer_NS d18:1_16:0,,C34H67NO3,537.5121,(M+CHO2)-,582.5103,-0.5,0.5,95.70,Cer_NS d34:1,4,Cer_NS d18:1/16:0,56.5
17,7.531,,,,863.5652,1144952,-1,Negative,Phosphatidylinositol,PI 18:0_18:1,,C45H85O13P,864.5728,(M-H)-,863.5655,-0.4,0.4,96.25,PI 36:1,1,PI 18:0/18:1,100.0
18,10.401,,,,637.5884,1111385,-1,Negative,,,,,638.5957,(M-H)-,,,,,,
19,7.155,,,,776.5448,1101171,-1,Negative,Phosphatidylcholine,PC 16:0_16:1,,C40H78NO8P,731.5465,(M+CHO2)-,776.5447,0.1,0.1,96.79,PC 32:1,6,PC 16:0/16:1,75.3
20,3.815,,,,681.2958,1050245,-1,Negative,,,,,682.3031,(M-H)-,,,,,,
21,5.665,,,,807.5025,1045977,-1,Negative,Phosphatidylinositol,PI 16:0_16:1,,C41H77O13P,808.5102,(M-H)-,807.5029,-0.5,0.5,97.79,PI 32:1,5,PI 16:0/16:1,35.3
22,5.849,,,,857.5181,1044247,-1,Negative,Phosphatidylinositol,PI 16:0_20:4,,C45H79O13P,858.5258,(M-H)-,857.5186,-0.6,0.6,95.83,PI 36:4,1,PI 16:0/20:4,100.0
23,10.499,,,,692.6193,986916,-1,Negative,Ceramide non-hydroxyfatty acid-sphingosine,Cer_NS d42:2,,C42H81NO3,647.6216,(M+CHO2)-,692.6198,-0.8,0.8,93.59,Cer_NS d42:2,7,,
24,5.791,,,,833.5182,937177,-1,Negative,Phosphatidylinositol,PI 16:1_18:1,,C43H79O13P,834.5258,(M-H)-,833.5186,-0.5,0.5,97.46,PI 34:2,3,PI 16:1/18:1,50.6
25,7.034,,,,776.5444,919696,-1,Negative,Phosphatidylcholine,PC 16:0_16:1,,C40H78NO8P,731.5465,(M+CHO2)-,776.5447,-0.5,0.5,97.05,PC 32:1,4,PC 16:0/16:1,65.6
26,8.195,,,,804.5756,916359,-1,Negative,Phosphatidylcholine,PC 16:0_18:1,,C42H82NO8P,759.5778,(M+CHO2)-,804.5760,-0.5,0.5,96.13,PC 34:1,2,PC 16:0/18:1,74.8
27,8.795,,,,742.5389,861196,-1,Negative,Phosphatidylethanolamine,PE 18:1_18:1,,C41H78NO8P,743.5465,(M-H)-,742.5392,-0.5,0.5,98.59,PE 36:2,1,PE 18:1/18:1,100.0
28,8.291,,,,722.5127,845179,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 16:1e_20:4,,C41H74NO7P,723.5203,(M-H)-,722.5130,-0.5,0.5,98.98,EtherPE 36:5e,1,EtherPE 16:1e/20:4,100.0
29,7.159,,,,762.5076,823330,-1,Negative,Phosphatidylethanolamine,PE 18:1_20:5,,C43H74NO8P,763.5152,(M-H)-,762.5079,-0.5,0.5,91.85,PE 38:6,1,PE 18:1/20:5,100.0
30,7.217,,,,802.5600,771521,-1,Negative,Phosphatidylcholine,PC 16:1_18:1,,C42H80NO8P,757.5622,(M+CHO2)-,802.5604,-0.4,0.4,96.81,PC 34:2,3,PC 16:1/18:1,68.5
31,8.593,,,,716.5231,759538,-1,Negative,Phosphatidylethanolamine,PE 16:0_18:1,,C39H76NO8P,717.5309,(M-H)-,716.5236,-0.7,0.7,94.25,PE 34:1,1,PE 16:0/18:1,100.0
32,8.037,,,,746.5126,747128,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 16:1e_22:6,,C43H74NO7P,747.5203,(M-H)-,746.5130,-0.6,0.6,96.24,EtherPE 38:7e,1,EtherPE 16:1e/22:6,100.0
33,6.646,,,,861.5494,738140,-1,Negative,Phosphatidylinositol,PI 36:2,,C45H83O13P,862.5571,(M-H)-,861.5499,-0.5,0.5,97.10,PI 36:2,2,,
34,2.614,,,,971.5721,706626,-1,Negative,,,,,972.5794,(M-H)-,,,,,,
35,9.321,,,,700.5281,697466,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 16:1e_18:1,,C39H76NO7P,701.5359,(M-H)-,700.5287,-0.8,0.8,97.85,EtherPE 34:2e,1,EtherPE 16:1e/18:1,100.0
36,6.855,,,,750.5285,695896,-1,Negative,Phosphatidylcholine,PC 14:0_16:0,,C38H76NO8P,705.5309,(M+CHO2)-,750.5291,-0.7,0.7,97.88,PC 30:0,1,PC 14:0/16:0,100.0
37,6.707,,,,747.5653,687002,-1,Negative,Sphingomyelin,SM d34:1,,C39H79N2O6P,702.5676,(M+CHO2)-,747.5658,-0.7,0.7,92.62,SM d34:1,17,,
